,id,text,caption,label,image,IsSarcasm
21,702578528546643968,"why , of course ! this campaign needed more agressiveness !","ted cruz takes a more aggressive stance on illegal immigration
",1,data/mmsd2/dataset_image/702578528546643968.jpg,Sarcastic
23,794288212390735872,wow what a breakfast .,"a plate with toast and ham on it
",1,data/mmsd2/dataset_image/794288212390735872.jpg,Sarcastic
24,879578827986538496,story of my life ;),"and the best part is that i'm not even your best friend
",1,data/mmsd2/dataset_image/879578827986538496.jpg,Sarcastic
25,820053781132013568,is it too late to post ?,"a woman holding a congratulations card and smiling
",0,data/mmsd2/dataset_image/820053781132013568.jpg,Not Sarcastic
27,820415035004583939,# laportada 'noche grande ',"marca - nochie grande
",0,data/mmsd2/dataset_image/820415035004583939.jpg,Not Sarcastic
30,818245245615898625,seth rich mystery gains more attention as assange hints that this was the true source of the podesta emails,"dc lobbyist behind campaign to solve seth rich murder mystery
",0,data/mmsd2/dataset_image/818245245615898625.jpg,Not Sarcastic
31,819686646518050817,""" hey can i copy your homework ? "" "" yeah sure but change it a little so the teacher doesn 't notice ""","the los angeles dodgers and the los angeles angels logos
",1,data/mmsd2/dataset_image/819686646518050817.jpg,Sarcastic
33,841845848594096132,feast your eyes on the quality service <user> provides .,"google speed test
",1,data/mmsd2/dataset_image/841845848594096132.jpg,Sarcastic
34,822955909672534016,amile jefferson in uniform and warming up tonight for duke,"a group of men playing basketball in a gym
",0,data/mmsd2/dataset_image/822955909672534016.jpg,Not Sarcastic
35,820411585466286081,we 're on the air ! ! ! by <user> on <user> <user> <user> <user> <user> <user> <user>,"a group of people posing for a photo together
",0,data/mmsd2/dataset_image/820411585466286081.jpg,Not Sarcastic
36,822588318739263492,who speaks for the people ? the unpopular billionaire who lost the popular vote or the popular president who served two full terms in office ?,"the text of the letter is in the image
",0,data/mmsd2/dataset_image/822588318739263492.jpg,Not Sarcastic
39,832181222419869697,that 's how p 'roll ' !,"a man is sitting at his desk with a calendar and a clock
",1,data/mmsd2/dataset_image/832181222419869697.jpg,Sarcastic
40,817520110512521218,important,"you are not your parents you are you think like you
",0,data/mmsd2/dataset_image/817520110512521218.jpg,Not Sarcastic
41,819322635439980545,finally until tomorrow michael abakumov 'heavenly souls ' welcome newbies to our friendly art site . tired tweeter hx,"a painting of a snowy field under a starry sky
",0,data/mmsd2/dataset_image/819322635439980545.jpg,Not Sarcastic
43,819331192721903616,street art by michel velt groningen netherlands,"a large mural of a woman holding a guitar on the side of a building
",0,data/mmsd2/dataset_image/819331192721903616.jpg,Not Sarcastic
45,834222513055883264,what a touching family moment .,"an anime character is touching his hair
",1,data/mmsd2/dataset_image/834222513055883264.jpg,Sarcastic
46,722659269456355328,"# parents who can wash , dry , fold and put away their laundry all in one day : explain yourselves","mommy's hard work
",1,data/mmsd2/dataset_image/722659269456355328.jpg,Sarcastic
47,684921998305312768,"after careful deliberation , i opted for the # selfie # photo at right for my professional # linkedin profile","two pictures of a man with a clock on his face
",1,data/mmsd2/dataset_image/684921998305312768.jpg,Sarcastic
49,816795358881869824,when you 're a total top .,"a drink with a straw in it and a red straw
",1,data/mmsd2/dataset_image/816795358881869824.jpg,Sarcastic
50,885169555986710528,"globalwarming in antarctica is a scam , just like trumprussia is a witch hunt ....","trump and putin meet at g20 summit
",1,data/mmsd2/dataset_image/885169555986710528.jpg,Sarcastic
51,818245298958929921,happy sunday,"a girl with long hair and a sweater
",0,data/mmsd2/dataset_image/818245298958929921.jpg,Not Sarcastic
53,820782556391972864,lil selfie for your day and was seen on snap,"a woman with long brown hair and a grey shirt
",0,data/mmsd2/dataset_image/820782556391972864.jpg,Not Sarcastic
54,819695295063789568,"welcome to mexico , governor of arizona <user> and <user> of phoenix looking forward to strengthening ties . <user> <user>","three people in suits standing next to each other
",0,data/mmsd2/dataset_image/819695295063789568.jpg,Not Sarcastic
55,871110843894607872,this is a great idea … instilling in my kids that hoarding and stealing are worthy pursuits .,"a game box with instructions on how to play
",1,data/mmsd2/dataset_image/871110843894607872.jpg,Sarcastic
58,820053775712976897,my hands when i 'll touch louis ' album,"gold glitter on hands
",0,data/mmsd2/dataset_image/820053775712976897.jpg,Not Sarcastic
59,823958719134334977,thanks <user> for leaving my # onlettinggo album outside in today 's snowy-rainy weather . the record will sound so much better wet .,"a box with a barcode on it sitting on a wooden table
",1,data/mmsd2/dataset_image/823958719134334977.jpg,Sarcastic
61,819691335703740417,sc selfies are the best selfies,"a girl with long hair and a white shirt
",0,data/mmsd2/dataset_image/819691335703740417.jpg,Not Sarcastic
62,821506524371566592,you are not just enough . you are everything .,"a man standing on the edge of a cliff with a large wave crashing into the ocean
",0,data/mmsd2/dataset_image/821506524371566592.jpg,Not Sarcastic
63,817519048464470017,fan art friday ! <user>,"the walking dead by jimmyjones
",0,data/mmsd2/dataset_image/817519048464470017.jpg,Not Sarcastic
64,773618482101489664,is it me only or everybody feels that girl in bado bahu ad is chetan bhagat in disguise,"the tv show's poster with a woman holding a vegetable
",1,data/mmsd2/dataset_image/773618482101489664.jpg,Sarcastic
65,820400844797607936,"reporter : mr . trump , how are you planning on making america great again ? trump : it 's simple ...","a road sign that has arrows pointing in different directions
",1,data/mmsd2/dataset_image/820400844797607936.jpg,Sarcastic
66,819685748035162112,"crosley field , cincinnati 10/2 / 40 - reds ace paul derringer delivers first pitch of 1940 world series to tigers leadoff hitter dick bartell","an old black and white photo of a baseball game
",0,data/mmsd2/dataset_image/819685748035162112.jpg,Not Sarcastic
67,818606069031337984,we fed her for 6 months while she was a stray outside . now we feed her inside and she stays there !,"a gray cat sitting under a table
",0,data/mmsd2/dataset_image/818606069031337984.jpg,Not Sarcastic
69,819326484418596866,you 're not a <user> fan if you don 't rt this tweet . demar derozan,"the toronto raptors have signed guard jeremy lin
",0,data/mmsd2/dataset_image/819326484418596866.jpg,Not Sarcastic
71,822949958206836737,khl all star game this weekend . i look forward to next weekend at the nhl all star games too .,"two hockey players sitting on the bench with their sticks
",0,data/mmsd2/dataset_image/822949958206836737.jpg,Not Sarcastic
72,819325807101440009,my mom didnt have to do my lil brother like that,"a boy with a piece of food in his mouth
",1,data/mmsd2/dataset_image/819325807101440009.jpg,Sarcastic
73,820415786409803778,meanwhile over at professor trump 's .....,"donald trump tweets about the two parallel lines in the science
",1,data/mmsd2/dataset_image/820415786409803778.jpg,Sarcastic
74,806969294114455553,"just finished "" the elephant in the room "" after starting in early november . exhilarating !","a quote from the article about the president
",1,data/mmsd2/dataset_image/806969294114455553.jpg,Sarcastic
75,852892392298512384,clearly based on reality .,"why are you littering?
",1,data/mmsd2/dataset_image/852892392298512384.jpg,Sarcastic
78,818242967991451648,my whole existence is low quality,"a woman wearing a flower crown on her head
",0,data/mmsd2/dataset_image/818242967991451648.jpg,Not Sarcastic
79,822951095769165825,to the most beautiful and kind soul i 've ever had the pleasure to be friends with . love you so much gabriel .,"a young man and woman standing on a track
",0,data/mmsd2/dataset_image/822951095769165825.jpg,Not Sarcastic
80,821869203322011648,excited to receive an offer from kutztown university,"kutztown football logo with brown bear head
",0,data/mmsd2/dataset_image/821869203322011648.jpg,Not Sarcastic
81,820057381635637249,1 day 2 dubs,"three soccer players pose for a picture on a soccer field
",0,data/mmsd2/dataset_image/820057381635637249.jpg,Not Sarcastic
82,818604316550381573,sebastian stan and margot robbie in the same movie ! ? ! ? <user>,"harley quinn and joker by jessicab
",0,data/mmsd2/dataset_image/818604316550381573.jpg,Not Sarcastic
83,830083341307232257,this valentine celebrate,"a brain and heart with the words i'm with stupid
",1,data/mmsd2/dataset_image/830083341307232257.jpg,Sarcastic
84,818061349775228928,via whatsapp,"the flight that took off in 2017 and landed in 2018
",1,data/mmsd2/dataset_image/818061349775228928.jpg,Sarcastic
85,823311747427823617,"clean header for era seclude twitter header ! ! <user> rts & favs are appreciated ,","the black and gold logo on a black background
",0,data/mmsd2/dataset_image/823311747427823617.jpg,Not Sarcastic
86,730425620371537921,"dwntn toronto # ec # multiculturalcity , <user> evernewmelbourne : only blonde mannequins . wow","a mannequin display in a clothing store with a woman on the wall
",1,data/mmsd2/dataset_image/730425620371537921.jpg,Sarcastic
87,716422307338563584,around $ 7 for 4.4 oz of blueberries . too bad they don 't have fruit already in # costarica .,"a close up of a fruit and vegetable display
",1,data/mmsd2/dataset_image/716422307338563584.jpg,Sarcastic
89,822593251626651649,2017012 1 haneda airport,"a man wearing a mask in an airport
",0,data/mmsd2/dataset_image/822593251626651649.jpg,Not Sarcastic
91,820050106946912257,different colors like my money,"a man sitting on a chair in a room
",0,data/mmsd2/dataset_image/820050106946912257.jpg,Not Sarcastic
93,819328910127169537,ten fabulous years for <user> ! ! <user> ! ! !,"a large group of people in a room
",0,data/mmsd2/dataset_image/819328910127169537.jpg,Not Sarcastic
94,820057324647829504,remember when bellamy literally leaped across the room and used himself as a shield to protect clarke ? same .,"the vampire diaries - clark's dinner
",0,data/mmsd2/dataset_image/820057324647829504.jpg,Not Sarcastic
97,687117399187828736,he loves when i pull my blanket out of my crate and drag it all over the living room .,"a dog laying on the floor next to a couch
",1,data/mmsd2/dataset_image/687117399187828736.jpg,Sarcastic
98,822956906503438337,"one of my favorite posters from today 's extraordinary , inspirational , reaffirming march in dc .","a woman holding a sign that says five for ethics i love shabbat
",0,data/mmsd2/dataset_image/822956906503438337.jpg,Not Sarcastic
100,819328054099116032,& shine .,"a young woman wearing a red top and black pants
",0,data/mmsd2/dataset_image/819328054099116032.jpg,Not Sarcastic
101,883563947449876481,i must have missed the meetings ... damn ! <user> <user> <user>,"the cover of the book transhuman deception
",1,data/mmsd2/dataset_image/883563947449876481.jpg,Sarcastic
102,821506114139209728,"the future 's so bright , i gotta wear shades .","the sun is setting behind palm trees on a grassy field
",0,data/mmsd2/dataset_image/821506114139209728.jpg,Not Sarcastic
105,881839148793024513,"when the religious right talks in sweden , people take notice","a group of people standing around a boat with a banner
",1,data/mmsd2/dataset_image/881839148793024513.jpg,Sarcastic
106,818239746929348608,""" give your heart and soul to me and life will always be la vie en rose "" # jungkook <user> © <user>","a young man is smiling while holding a cell phone
",0,data/mmsd2/dataset_image/818239746929348608.jpg,Not Sarcastic
107,822228702096424962,we found love in a hopeless place,"two dogs standing on the side of a street with a fire
",1,data/mmsd2/dataset_image/822228702096424962.jpg,Sarcastic
108,726244731215212544,berlin art install . world leaders discussing global warming .,"a group of dolls in a puddle of water
",1,data/mmsd2/dataset_image/726244731215212544.jpg,Sarcastic
109,822465926486335488,daily drawing - hot air balloon,"a drawing of a hot air balloon with the american flag
",1,data/mmsd2/dataset_image/822465926486335488.jpg,Sarcastic
111,820053026178273280,double chindemnity,"donald trump's face is shown in this photo taken on may 20, 2016
",1,data/mmsd2/dataset_image/820053026178273280.jpg,Sarcastic
112,818239129133715457,and there it is ! <user> knocks off 13 wisconsin 66-55 !,"two men playing basketball in a game
",0,data/mmsd2/dataset_image/818239129133715457.jpg,Not Sarcastic
115,822222879479779329,meet the parents : <user> with 'parents ' # sophieokonedo & # damianlewis . albee 's the goat ... <user>,"two pictures of a man and woman, one with a man and the other with a woman
",0,data/mmsd2/dataset_image/822222879479779329.jpg,Not Sarcastic
116,822226815473373185,wait till i get famous y 'all .. this gone be who i 'm walking on red carpets with .,"a man in a white underwear laying on a bed
",0,data/mmsd2/dataset_image/822226815473373185.jpg,Not Sarcastic
117,710985065208139776,<user> from your last tweet i thought you 'd like this .,"see gentlemen, it's right here where we demand a safe space from scary words
",1,data/mmsd2/dataset_image/710985065208139776.jpg,Sarcastic
118,822587060137717761,we are all michelle obama today,"the first lady is handing a gift to the president
",1,data/mmsd2/dataset_image/822587060137717761.jpg,Sarcastic
120,797950947553120260,barry 's diary blowing homie up for wasted making out with a banger .,"a text message on a phone with a picture of a couple
",1,data/mmsd2/dataset_image/797950947553120260.jpg,Sarcastic
122,822590844276473856,john dies at the end ( 2012 ) | d: don coscarelli,"a man on a motorcycle is riding in front of a car
",0,data/mmsd2/dataset_image/822590844276473856.jpg,Not Sarcastic
123,819691572468051968,"the league is proud to partner with the # womensmarch as women & defenders of our democracy , there is more that unites us than divides us !","women's march on washington
",0,data/mmsd2/dataset_image/819691572468051968.jpg,Not Sarcastic
124,822953158079029249,omg . dying .,"a young child wearing a sign that says i love you but i stay woke
",0,data/mmsd2/dataset_image/822953158079029249.jpg,Not Sarcastic
126,826608425299824644,now this is how you pick up chicks . guys take notes from my fbook messenger,"justin young's facebook screenshot
",1,data/mmsd2/dataset_image/826608425299824644.jpg,Sarcastic
127,713188981270306816,must be new releases night on <user> . never seen italian job or bourne identity on here before .,"a television screen showing the time and date
",1,data/mmsd2/dataset_image/713188981270306816.jpg,Sarcastic
130,695712625984999424,disney world is a pretty intelligent place,"a book with the words you're instrumental workshop
",1,data/mmsd2/dataset_image/695712625984999424.jpg,Sarcastic
131,724475898070765568,one thing i have noticed about the # brexit camp on social media : they 're so very eloquent .,"the obama facebook page
",1,data/mmsd2/dataset_image/724475898070765568.jpg,Sarcastic
135,732640768121274368,tag someone ! <user> …,"boys are actually more emotional than girls but they just hide it better
",1,data/mmsd2/dataset_image/732640768121274368.jpg,Sarcastic
136,821506133516951552,will former 007 <user> be playing cable in deadpool 2 ? pictured here today with <user> and <user>,"three men sitting on a couch with their hands over their eyes
",0,data/mmsd2/dataset_image/821506133516951552.jpg,Not Sarcastic
137,717073878149890048,how awful the weather is in downtown # cle for the # tribeopener to be postponed ! !,"a man walking on a sidewalk
",1,data/mmsd2/dataset_image/717073878149890048.jpg,Sarcastic
138,823316468775292928,"i have a new friend . odder has 3 legs and loves belly rubs . followed me a block , little bell tingling . 10/10 cat ohmygosh","a cat is standing on a sidewalk next to a person's shoes
",0,data/mmsd2/dataset_image/823316468775292928.jpg,Not Sarcastic
139,821504744359346176,i 'm so blessed to say that i am committed to the university of stephen f austin . <user> <user> <user> <user>,"the football team is standing in front of a banner
",0,data/mmsd2/dataset_image/821504744359346176.jpg,Not Sarcastic
140,817516842075832321,shot from yesterday,"an image of a video game with a gun on it
",0,data/mmsd2/dataset_image/817516842075832321.jpg,Not Sarcastic
141,724615506737684481,when you pay <user> r500pm for bussiness adsl you know the speeds are going to be good,"speedtest on the app store
",1,data/mmsd2/dataset_image/724615506737684481.jpg,Sarcastic
142,711558188479455236,doing ecgs are a losing venture . thanks liberals . good thing it 's not an important test in patient care .,"the cost of ec in ontario
",1,data/mmsd2/dataset_image/711558188479455236.jpg,Sarcastic
143,822956027792465921,'wault 'ing around ovo,"a cartoon character sleeping on a bed
",0,data/mmsd2/dataset_image/822956027792465921.jpg,Not Sarcastic
145,823986290601234432,wait does this mean the vicious weather is over ?,"a rainbow is seen in the sky over a city
",1,data/mmsd2/dataset_image/823986290601234432.jpg,Sarcastic
146,734122614227111938,<user> i can see the fear in your eyes !,"a woman is standing in front of a crowd with the caption here's senator barbara boxer
",1,data/mmsd2/dataset_image/734122614227111938.jpg,Sarcastic
147,822587027581444098,""" two standing women "" , alfonso mucha ( rep . checa ) - modernismo","two stained glass panels depicting two women
",0,data/mmsd2/dataset_image/822587027581444098.jpg,Not Sarcastic
148,819691921408950272,"hi guys , i 'm dropping new music off from space tomorrow","a young woman with long hair wearing a t - shirt
",0,data/mmsd2/dataset_image/819691921408950272.jpg,Not Sarcastic
149,822586230261030913,when you figure out what # themblankets means ...,"trump's inauguration parade was a 'beautiful sight'
",1,data/mmsd2/dataset_image/822586230261030913.jpg,Sarcastic
150,822954069618663425,just because i liked this shot from a photoshoot a while ago :),"a woman with pink hair and tattoos
",0,data/mmsd2/dataset_image/822954069618663425.jpg,Not Sarcastic
151,822227939668455424,blessed with opportunities in life,"a young man sitting at a table with a framed certificate
",0,data/mmsd2/dataset_image/822227939668455424.jpg,Not Sarcastic
153,817516612400123904,tom with a fan today in london !,"two men posing for a selfie on a subway
",0,data/mmsd2/dataset_image/817516612400123904.jpg,Not Sarcastic
155,822952732462120962,<user> took this one for you,"a crowd of people holding signs that say i immigrants we get the job done hamilton
",1,data/mmsd2/dataset_image/822952732462120962.jpg,Sarcastic
156,817158707893174272,more than 50 % of yall said yes to get highlights again so hopefully this is fine,"a young man wearing a white hoodie
",0,data/mmsd2/dataset_image/817158707893174272.jpg,Not Sarcastic
157,830927771379630080,"<user> so migrants / refugees = barbarians invading ? interesting . nope , no racial connotations in that remark","lauren southern southern twitter
",1,data/mmsd2/dataset_image/830927771379630080.jpg,Sarcastic
159,819328583059390464,"hey kiddos , still have a few slots open so here you go , 2/3 , 2/4 , 2/5 , 2/10 , 2/12 , 2/18 , 2/26 , 3/10 , 3/17 , 3/19 , 3/26 tag a promoter :)","a wrestler in a wrestling ring with a crowd watching
",0,data/mmsd2/dataset_image/819328583059390464.jpg,Not Sarcastic
160,822593968366030848,costive icky green ungalled dark cream deciding dark olive,"a green and yellow color palette with a black and white stripe
",0,data/mmsd2/dataset_image/822593968366030848.jpg,Not Sarcastic
162,886723588904148992,nothing like waking up <num> orange box … and … finding gift from my beloved j that costs more than # haters ' home … … merci beaucoup my j,"hermes pink perfume in an orange box
",1,data/mmsd2/dataset_image/886723588904148992.jpg,Sarcastic
163,727567194192785408,still sat in a car park in rochdale stuffing geese whilst the son 's at football training . bored,"a white duck sitting on the dashboard of a car
",1,data/mmsd2/dataset_image/727567194192785408.jpg,Sarcastic
165,819694525085949952,how the <user> logo would look if the team had moved to denver instead . ( via <user> ),"the denver broncos logo
",0,data/mmsd2/dataset_image/819694525085949952.jpg,Not Sarcastic
166,817043300498579456,bernie needs to quit fighting for people 's healthcare and start talking about russia like the other dems .,"john podesta russia hacked my emails
",1,data/mmsd2/dataset_image/817043300498579456.jpg,Sarcastic
167,822229296936669184,"i think 2017 will be my "" biggest "" year yet . patrick and i are so excited for this new adventure . baby due date : 8/ 3/17 <user>","a man and woman sitting on chairs with a chalkboard
",0,data/mmsd2/dataset_image/822229296936669184.jpg,Not Sarcastic
169,709678110514536448,cleanforthequeen going well round here ! ! <user>,"a small grassy area with a fence and a bench
",1,data/mmsd2/dataset_image/709678110514536448.jpg,Sarcastic
170,823316176868691968,naked gun,"the man in the suit is talking to someone
",0,data/mmsd2/dataset_image/823316176868691968.jpg,Not Sarcastic
171,822225213379248129,gotta make it out .,"a man in a maroon jersey standing in front of a green screen
",0,data/mmsd2/dataset_image/822225213379248129.jpg,Not Sarcastic
172,694188602092359680,mark from <user> not excited at all to be taking a photo with <user> !,"a man and woman posing for a photo on the red carpet
",1,data/mmsd2/dataset_image/694188602092359680.jpg,Sarcastic
173,820420086896869376,got it done roping today another buckle and some cash,"a man standing next to a horse with a plaque
",0,data/mmsd2/dataset_image/820420086896869376.jpg,Not Sarcastic
176,872228039706501120,i 'm so excited for my po box to finally be equipped with a comed smart meter !,"a person holding a paper with a map on it
",1,data/mmsd2/dataset_image/872228039706501120.jpg,Sarcastic
177,822222381066260481,still holding out for more updateds .,"the logo for the website pso2 com
",0,data/mmsd2/dataset_image/822222381066260481.jpg,Not Sarcastic
180,819690013797531650,hahahahahaha literally i 'm deceased,"the governor's twitter account is now tweeting about the weather
",0,data/mmsd2/dataset_image/819690013797531650.jpg,Not Sarcastic
181,780918708386398208,now that 's a real story <user>,"the nba app on the iphone shows the latest news
",1,data/mmsd2/dataset_image/780918708386398208.jpg,Sarcastic
182,842401428534628355,wow way to be helpful <user> hear that <user> ? this is your problem .,"american airlines twitter
",1,data/mmsd2/dataset_image/842401428534628355.jpg,Sarcastic
183,702265381273128961,i don 't know if you heard but come out to women and hip hop on wednesday .,"women in hip hop event flyer
",1,data/mmsd2/dataset_image/702265381273128961.jpg,Sarcastic
184,761156798820868096,"yep , pretty much !","the awkward moment when your sarcasm is so advanced that actually think you are stupid
",1,data/mmsd2/dataset_image/761156798820868096.jpg,Sarcastic
186,821869145465716736,mls is full of great guys . <user>,"this man is giving a check to a man
",0,data/mmsd2/dataset_image/821869145465716736.jpg,Not Sarcastic
187,685363041110634496,the picture says it all at its best,"a cartoon depicting the indian government and the indian people
",1,data/mmsd2/dataset_image/685363041110634496.jpg,Sarcastic
189,819327341994319876,amanda waller suicide squad cover by lee bermejo .,"the cover of the book target accomplished
",0,data/mmsd2/dataset_image/819327341994319876.jpg,Not Sarcastic
190,720298045863100416,<user> also this is a good headline that i 'm definitely proud of as an <user> alum,"education all male harvard club breaks history of silence to reject adding women
",1,data/mmsd2/dataset_image/720298045863100416.jpg,Sarcastic
191,823310389668618241,why is this what i wake up to,"a man on a scooter in a tunnel with his hand up
",0,data/mmsd2/dataset_image/823310389668618241.jpg,Not Sarcastic
195,873523516125138944,"i 'm heading to the <user> where there 's this random band called systemofadown don 't know them , are they good ?","two tickets for the festival are shown
",1,data/mmsd2/dataset_image/873523516125138944.jpg,Sarcastic
198,822226254665568256,light over 20 milli,"san holo - light
",0,data/mmsd2/dataset_image/822226254665568256.jpg,Not Sarcastic
199,820049661700341761,its time to go you flogs get out pricks,"three men in suits standing next to each other
",0,data/mmsd2/dataset_image/820049661700341761.jpg,Not Sarcastic
200,847363452653813760,i 'm just saying,"you sound better with your mouth closed
",1,data/mmsd2/dataset_image/847363452653813760.jpg,Sarcastic
201,821507336556728320,prayers for the little elm police tonight,"the thin blue line flag
",0,data/mmsd2/dataset_image/821507336556728320.jpg,Not Sarcastic
203,816796288805113856,i love my fat grey baby even though he 's different,"a gray cat is licking a guinea pig
",0,data/mmsd2/dataset_image/816796288805113856.jpg,Not Sarcastic
205,818237966891945985,"love seeing my pal <user> nominated for <user> on the <user> # redcarpet with her "" go daughter "" leila","a man and woman are smiling for the camera
",0,data/mmsd2/dataset_image/818237966891945985.jpg,Not Sarcastic
207,885179187111145473,mom let my sisters try on her wedding dress . this is in no way suggesting anything to me,"a woman in a wedding dress is being helped by another woman
",1,data/mmsd2/dataset_image/885179187111145473.jpg,Sarcastic
208,691696897195511808,"well if this doesn 't get you into a church , i don 't know what will !","heaven knows when you were here last
",1,data/mmsd2/dataset_image/691696897195511808.jpg,Sarcastic
209,831942822081208321,i 'd take the highway though <user>,"we live in a world where we have stairways to heaven but highways to hell
",1,data/mmsd2/dataset_image/831942822081208321.jpg,Sarcastic
210,884476567895891968,couldn 't explain it better myself,"i love sarcasm it's like punching people in the face but with words
",1,data/mmsd2/dataset_image/884476567895891968.jpg,Sarcastic
211,821619604179009538,i got my rf hat signed by <user> .,"a person holding a white hat with the letter f on it
",1,data/mmsd2/dataset_image/821619604179009538.jpg,Sarcastic
212,857637460666404865,"thanks <user> . no fries , no extra gravy . i love this $ 7.50 half a meal .","a box of chicken nuggets and a receipt
",1,data/mmsd2/dataset_image/857637460666404865.jpg,Sarcastic
216,818605966581121024,happy nasty 19 to me,"a woman sitting at a table with a cell phone
",0,data/mmsd2/dataset_image/818605966581121024.jpg,Not Sarcastic
217,877680983423819776,like if you think this romper is cute !,"two men in overalls walking down a dirt road
",1,data/mmsd2/dataset_image/877680983423819776.jpg,Sarcastic
218,819330706753064963,""" you 've mentioned you 're palestinian 13 times in the past 2 minutes , we get it you 're palestinian "" me :","a man with sunglasses and a white shirt is holding up a bunch of flags
",1,data/mmsd2/dataset_image/819330706753064963.jpg,Sarcastic
219,698432181853515777,yes ... thank you .... - . -,"thank you bad cough for waking me up at 5am
",1,data/mmsd2/dataset_image/698432181853515777.jpg,Sarcastic
220,823313274842349569,. <user> : you can 't do it alone .,"a man standing in front of a crowd holding a microphone
",0,data/mmsd2/dataset_image/823313274842349569.jpg,Not Sarcastic
222,815561567966298112,i like cutting aluminum,"aluminum profile extrusion profiles
",1,data/mmsd2/dataset_image/815561567966298112.jpg,Sarcastic
223,822482609255157762,america is feeling all the feels .,"trump's inauguration speech live on facebook
",1,data/mmsd2/dataset_image/822482609255157762.jpg,Sarcastic
225,870458208841805824,but how did it know ? ! ? !,"weather forecast - screenshot
",1,data/mmsd2/dataset_image/870458208841805824.jpg,Sarcastic
226,695718199866761218,went thru the drive thru at <user> today . super happy i got <num> pieces of chicken & <num> pieces of beef .,"a take out container with rice, meat and vegetables
",1,data/mmsd2/dataset_image/695718199866761218.jpg,Sarcastic
229,820416659953426433,well . there 's my art . that i didn 't submit . and i said i didn 't want to submit . y 'all really make a boy want to leave the fandom huh,"a young man is watching a video on youtube
",0,data/mmsd2/dataset_image/820416659953426433.jpg,Not Sarcastic
230,820050847048564736,team,"two women are standing in front of a television screen
",0,data/mmsd2/dataset_image/820050847048564736.jpg,Not Sarcastic
231,818240626697338880,fifty shades of grey ( 2015 ),"the office tv show - jim and pam's office
",1,data/mmsd2/dataset_image/818240626697338880.jpg,Sarcastic
235,822955571347333123,i had a blast today,"a woman sitting on a stool holding a blanket
",0,data/mmsd2/dataset_image/822955571347333123.jpg,Not Sarcastic
